Id,Start,Name,Impact,Currency
5b125588-01ca-4aca-a365-8902ef7839f1,01/03/2020 15:00:00,ISM Manufacturing PMI,HIGH,USD
3fa72395-467b-48b9-b0a3-29529d398237,01/03/2020 19:00:00,FOMC Minutes,HIGH,USD
2d6440df-69b8-4322-b175-002ae17088e3,01/07/2020 10:00:00,Core Harmonized Index of Consumer Prices (YoY),HIGH,EUR
9671cb3a-f6d0-4192-a982-ac67e5c08304,01/07/2020 10:00:00,Harmonized Index of Consumer Prices (YoY),HIGH,EUR
61b73587-20eb-4300-b019-008603aab00b,01/07/2020 15:00:00,ISM Services PMI,HIGH,USD
294229b2-79ca-4339-8964-334dc6304acc,01/09/2020 09:30:00,BoE's Governor Carney speech,HIGH,GBP
0b49790f-c0c1-446a-9600-d48b71621924,01/09/2020 19:00:00,BoC's Governor Poloz speech,HIGH,CAD
db4ef5cd-dd9f-4a47-a7bf-acfe282def7e,01/10/2020 13:30:00,Net Change in Employment,HIGH,CAD
bb16138e-8445-46af-9eb0-7b2301402682,01/10/2020 13:30:00,Unemployment Rate,HIGH,CAD
a6ac24d9-e0a4-4883-ac64-9ca04cb226bd,01/10/2020 13:30:00,Average Hourly Earnings (YoY),HIGH,USD
25bc356b-32af-46f5-931f-a73a3e242229,01/10/2020 13:30:00,Nonfarm Payrolls,HIGH,USD
0bb5ff56-9686-4971-9c2f-29e1d60af6a4,01/14/2020 13:30:00,Consumer Price Index ex Food & Energy (MoM),HIGH,USD
db3c4845-fc93-4f24-a4b6-f82d3f69b985,01/14/2020 13:30:00,Consumer Price Index ex Food & Energy (YoY),HIGH,USD
f4c0d1b2-17dc-42f4-9dde-c14780600eba,01/15/2020 00:30:00,BoJ's Governor Kuroda speech,HIGH,JPY
9b903c0a-508e-42fc-918e-9132b8730dc0,01/15/2020 09:30:00,Consumer Price Index (YoY),HIGH,GBP
b2fa30df-6215-48eb-9ead-3bbe2a0bbed0,01/16/2020 12:30:00,ECB Monetary Policy Meeting Accounts,HIGH,EUR
5e1e5cbf-f517-45ef-b6ec-1ff22a18c13e,01/16/2020 13:30:00,Retail Sales Control Group,HIGH,USD
2f601fb5-2315-441d-b5cb-17ccd17f664f,01/16/2020 18:00:00,ECB's President Lagarde speech,HIGH,EUR
1e4f908f-45e6-4bfe-883b-a3619a771d5e,01/17/2020 15:00:00,Michigan Consumer Sentiment Index,HIGH,USD
ab4ac19c-0f69-4384-bc16-4a9d35837ba0,01/20/2020 18:30:00,ECB's President Lagarde speech,HIGH,EUR
a8f383fa-992e-4c45-ac79-6e3163a8dd91,01/21/2020 03:00:00,BoJ Interest Rate Decision,HIGH,JPY
45b3ed40-79de-4ea5-bd06-52740db7010c,01/21/2020 03:00:00,BoJ Monetary Policy Statement,HIGH,JPY
32179be2-d0ec-4165-9f5f-aaee876e1cea,01/21/2020 06:00:00,BoJ Press Conference,HIGH,JPY
6e608cac-7fbf-47a8-b1ac-f8d2c5445bb3,01/21/2020 09:00:00,ECB Bank Lending Survey,HIGH,EUR
12ff85dd-26d6-4ed0-85e7-da9ff23a5209,01/21/2020 09:30:00,Average Earnings Including Bonus (3Mo/Yr),HIGH,GBP
21a2cc5a-788d-4a59-a453-b993b95c2014,01/21/2020 09:30:00,Employment Change (3M),HIGH,GBP
e099a8c6-5f5e-412c-96e0-5fd1beea9b0a,01/21/2020 09:30:00,ILO Unemployment Rate (3M),HIGH,GBP
091bf4e0-1c30-4bcf-923d-0fe890d1a82a,01/22/2020 13:30:00,BoC Consumer Price Index Core (YoY),HIGH,CAD
eeb52691-e10e-44ae-90bd-50aebbd369eb,01/22/2020 15:00:00,BoC Interest Rate Decision,HIGH,CAD
468012ea-5286-4432-89e4-c639956530dc,01/22/2020 15:00:00,BoC Monetary Policy Report,HIGH,CAD
f8a94323-b54e-43d8-9a0d-70ecdd28bd2c,01/22/2020 15:00:00,BoC Monetary Policy Statement,HIGH,CAD
4f190e23-62e6-4875-8ce6-2fedede0d20f,01/22/2020 16:15:00,BoC Press Conference,HIGH,CAD
